,ACHADO,TIPO_ACHADO
11572,Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
23175,Projeto Básico sem aprovação pela autoridade competente.,Ausência de aprovação do projeto pela autoridade competente
9807,Obra de grande vulto utiliza dotações consignadas em outro crédito orçamentário.,Dotação orçamentária incompatível com a execução do objeto
5622,"Sobrepreço - Sobrepreço decorrente de preços excessivos frente ao mercado (serviços, insumos e encargos).",Sobrepreço
5690,Demais falhas na administração do contrato ou demais irregularidades graves na administrção do contrato - Termo aditivo assinado após o término da vigência do contrato.,"Aditivos irregulares, injustificados ou não celebrados"
22385,Ausência/deficiência de pesquisas e dados técnicos comprovados acerca da escolha dos veículos utilizados para a veiculação das campanhas/ações de comunicação.,Outras irregularidades na execução do contrato
9700,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
16869,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
12291,"Desvio de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
17026,"Ausência de licitação autônoma para aquisição de equipamentos e/ou materiais, embora técnica e economicamente recomendável.",Restrição à competitividade do certame
18208,Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
12549,Falta de publicidade devida ao contrato/aditivo.,"Ausência de formalização, publicidade e/ou transparência do contrato"
17338,Inobservância dos requisitos legais e técnicos de acessibilidade de pessoas portadoras de deficiência ou com mobilidade reduzida.,"Projeto inexistente, deficiente ou desatualizado"
10507,Projeto básico/executivo sub ou superdimensionado.,"Projeto inexistente, deficiente ou desatualizado"
7037,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
9914,"Desvio de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
18852,"Estimativas de quantidades de serviços constantes da planilha orçamentária superiores aos quantitativos definidos no projeto executivo da obra e Superfaturamento de quantidades, decorrente da medição de serviços em quantidades superiores àquelas previstas no projeto",Irregularidades na execução do convênio
12399,Obra entregue sem estar devidamente concluída.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
11015,Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
22399,Existência de preços diferentes para o mesmo serviço.,Falha na composição dos custos expressos na planilha orçamentária
11504,O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
8865,Licitação de obras sem previsão orçamentária ou com previsão insuficiente ou ilimitada.,Dotação orçamentária incompatível com a execução do objeto
5952,Demais falhas na execução do convênio,Irregularidades na execução do convênio
16979,"Risco de alteração indevida da forma de execução de obra, em desconformidade com os requisitos legais.","Aditivos irregulares, injustificados ou não celebrados"
21151,"Julgamento irregular das propostas, em desacordo com os princípios da administração pública.",Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
12059,Impropriedades na execução do convênio,Irregularidades na execução do convênio
7114,Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
19587,Existência de atrasos nas etapas do empreendimento,Descumprimento do cronograma físico-financeiro do objeto
7643,Critério de reajuste inexistente ou inadequado.,Cláusulas essenciais imprecisas ou ausentes
16048,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
18133,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
10025,Licitação de obras sem previsão orçamentária ou com previsão insuficiente ou ilimitada.,Dotação orçamentária incompatível com a execução do objeto
22497,Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
22861,O valor do convênio não cobre as despesas relativas à obra licitada ou é superior às despesas efetivas relacionadas à obra licitada.,Irregularidades na fase de proposição
22628,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
8440,Cláusulas contratuais em desacordo com os preceitos da Lei 8.666/93.,Cláusulas essenciais imprecisas ou ausentes
21077,Projeto básico/executivo sub ou superdimensionado.,"Projeto inexistente, deficiente ou desatualizado"
21757,Atrasos na liberação de recursos.,Dotação orçamentária incompatível com a execução do objeto
7040,Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
9646,Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
16129,Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
17653,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
6681,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
17270,"Formalização de termo aditivo objetivando o reequilíbrio econômico-financeiro do contrato, fora das hipóteses legais.","Aditivos irregulares, injustificados ou não celebrados"
18274,Inclusão de parcela referente ao IRPJ e CSLL na composição do BDI ou na planilha de custo direto.,Falha na composição dos custos expressos na planilha orçamentária
22407,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
22013,Achado A.5. Existência de deficiências nos métodos de fiscalização contratual.,Fiscalização contratual inexistente ou deficiente
21801,Insuficiência de recursos financeiros para dar continuidade à execução dos contratos,Atraso ou paralisação da obra por ação ou omissão do gestor
20644,Direcionamento da licitação.,Irregularidades na condução do procedimento licitatório
7938,Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
22356,Existências de atrasos que podem comprometer o prazo de entrega do empreendimento,Descumprimento do cronograma físico-financeiro do objeto
21037,Inconsistências na ferramenta de cálculo da taxa diária de afretamento (TDA),Metodologia inadequada para definição do orçamento do objeto
7074,Obra executada sem alvará de construção.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
8390,"Ausência de parcelamento do objeto, embora técnica e economicamente recomendável.",Restrição à competitividade do certame
14350,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
18342,Objeto do convênio/edital/contrato sem funcionalidade própria.,Inviabilidade do projeto
9239,Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
12195,Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
18214,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
17785,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
5238,Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
17143,Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
14804,Ausência de exigências mínimas na habilitação técnico-operacional como forma de atestar a capacidade da contratada para executar objeto de porte similar ao do contrato.,Irregularidades na habilitação e qualificação da licitante
11163,Movimentação irregular da conta específica do convênio.,Irregularidades na execução do convênio
18306,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
19906,Ausência de análise técnica do anteprojeto pelo Dnit.,Ausência de aprovação do projeto pela autoridade competente
19592,A.2.3  Pagamentos vedados pela legislação.,Irregularidades na execução do convênio
7227,Superfaturamento decorrente da execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
8278,"Desvio de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
9383,Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
20441,Conduta antieconômica.,Irregularidades na execução do convênio
13335,Julgamento da fase de habilitação em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
21125,Omissão em adotar as medidas necessárias ante o atraso na prestação de contas.,Ausência ou inadequação das prestações de contas do convênio
11464,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
16639,"Mudança de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
21523,"Em sede de Recurso Ordinário, no Processo Trabalhista 0055700-78.2009.5.05.0034, o acórdão do TRT 5ª Região exarou que o recurso não foi admitido por acolhimento da preliminar de irregularidade na representação da Codeba.",Fiscalização contratual inexistente ou deficiente
11977,Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
19403,Ausência das garantias contratuais e adiantamento de pagamento sem a apresentação de garantias.,Garantia contratual inexistente
12830,Impropriedades na execução do convênio,Irregularidades na execução do convênio
21482,"Ausência de publicação no Diário Oficial da União dos editais dos pregões 15/2017 e 63/2018, realizados no âmbito do Contrato de Repasse 840.202/2016",Restrição à competitividade do certame
20720,Deficiência nos levantamentos que fundamentam a elaboração dos projetos básico/executivo.,"Projeto inexistente, deficiente ou desatualizado"
20764,Ineficiência na política creditícia,Gestão temerária
8064,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
6053,Irregularidade grave na execução do convênio - Ausência de cláusula(s) essenciais no termo de convênio celebrado.,Irregularidades na formalização do convênio
21810,"Insuficiência de recursos orçamentários, no ano, para a execução da obra. ",Outras irregularidades na execução do contrato
14852,Gestão temerária de empreendimento.,Gestão temerária
7186,Sobrepreço decorrente de BDI excessivo.,Sobrepreço
20791,Não existe registro de aquisições contratualmente desconformes. (Marituba).,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
17596,Adiantamento de pagamentos.,Liquidação e/ou pagamento irregular da despesa
8729,Movimentação irregular da conta específica do convênio.,Irregularidades na execução do convênio
9355,"Ausência de parcelamento do objeto, embora técnica e economicamente recomendável.",Restrição à competitividade do certame
19343,A.2.4 - Ausência ou inadequação da pesquisa de preço,Metodologia inadequada para definição do orçamento do objeto
19877,"O Coren/MS tem 27% do quantitativo de seus profissionais registrados em inadimplência, totalizando o valor de R$ 1.998.321,11 em 2016.",Gestão temerária
17331,Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
11014,Inviabilidade econômico-financeira decorrente de alterações do custo total do empreendimento.,Inviabilidade do projeto
7649,Adoção de regime de execução contratual inadequado ou antieconômico,"Adoção de tipo, regime ou modalidade de licitação indevidos"
11307,Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
8437,Projeto básico/executivo sub ou superdimensionado.,"Projeto inexistente, deficiente ou desatualizado"
16944,Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
17403,Inexistência de Termo de Recebimento Provisório do objeto contratado.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
18948,Projeto básico/executivo inconsistente,"Projeto inexistente, deficiente ou desatualizado"
5545,Demais irregularidades graves na administração do contrato - Obra  entregue sem estar devidamente concluída.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
15413,Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
16562,Superfaturamento decorrente de alteração da metodologia executiva,Superfaturamento
19518,Sobrepreço decorrente de alteração da metodologia executiva,Sobrepreço
22532,Fragilidades e riscos na verificação dos parâmetros técnicos ,Fiscalização contratual inexistente ou deficiente
22056,Não foram iniciados os serviços complementares indispensáveis ao efetivo funcionamento de campus universitário implantado em Aparecida de Goiânia,Ausência de efetividade da obra
16042,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
13440,Cláusulas do edital/contrato em desconformidade com os preceitos da LDO.,Irregularidades na elaboração do ato convocatório
6116,Demais irregularidades graves no processo licitatório - Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
20930,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
9968,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
21538,A.1.4 Ausência de depósito/prestação da contrapartida.,Irregularidades na execução do convênio
9057,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
21127,PIATÃ - Pagamento de honorários advocatícios com recursos dos precatórios do Fundef.,Liquidação e/ou pagamento irregular da despesa
9151,Impropriedades na execução do convênio,Irregularidades na execução do convênio
18910,"Pagamento de remunerações a funcionários e dirigentes não estatutários em valores superiores ao teto constitucional, por entidades totalmente dependentes de recursos públicos para sua manutenção.",Irregularidades na execução do convênio
12979,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
7250,Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
6689,Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
17657,Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
5633,"Ausência, no edital, de critério de aceitabilidade de preços máximos - Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.",Irregularidades na elaboração do ato convocatório
20241,Omissão da fiscalização da CAIXA na detecção e solução dos problemas verificados na execução da obra,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
12392,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
22211,Deficiências na garantia de execução do contrato,Garantia contratual inexistente
8661,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
19413,"Início das obras em descompasso com o andamento das desapropriações

",Processo de desapropriação inexistente ou deficiente
22984,Atraso na execução.,Descumprimento do cronograma físico-financeiro do objeto
11116,Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
18938,"Restrição indevida da competitividade nos pregões eletrônicos 1528/2016/2016, 1548/2016/2016, 1628/2016/2016, 1629/2016/2016 e 198/2017 caracterizada pela destinação de 25% do quantitativo total previsto para cada produto a ser adquirido para contratação exclusiva de microempresas e empresas de pequeno porte, em desconformidade com as disposições do inciso III do art. 49 da Lei Complementar 123/2006 c/c os arts. 6º, 8º e os incisos II, IV e parágrafo único do art. 10º do Decreto 8.538/2015.",Restrição à competitividade do certame
8054,Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
11107,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
21641,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
9634,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
17076,Deficiência nos levantamentos que fundamentam a elaboração dos projetos básico/executivo.,"Projeto inexistente, deficiente ou desatualizado"
6902,Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
6196,Irregularidades na execução do Contrato - Falta de retenção da garantia prevista na Lei 8.666/93.,Garantia contratual inexistente
10303,Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
7504,Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
15507,Falta de exigência de garantia contratual.,Garantia contratual inexistente
16489,Julgamento da fase de habilitação em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
6820,Itens instalação/manutenção de canteiros e mobilização/desmobilização não se encontram  detalhados no custo direto da obra.,Falha na composição dos custos expressos na planilha orçamentária
14569,Obra entregue sem estar devidamente concluída.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
17462,Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
9764,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
17984,Orçamento em desconformidade com as disposições da Lei de Diretrizes Orçamentárias,Falha na composição dos custos expressos na planilha orçamentária
22604,Superfaturamento decorrente de quantitativo inadequado.,Liquidação e/ou pagamento irregular da despesa
19698,RIBEIRA DO POMBAL - Pagamento de honorários advocatícios com recursos dos precatórios do Fundef.,Liquidação e/ou pagamento irregular da despesa
16046,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
9202,Obras realizadas em terrenos não desapropriados (caracterização de esbulho pela Administração Pública).,Processo de desapropriação inexistente ou deficiente
11054,Fuga à licitação por meio de inclusão de objeto estranho ao licitado.,Contratação direta indevida ou não justificada
7016,Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
22726,Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
7564,Descumprimento dos procedimentos para alteração de Contratos de Repasse ou Termo de Execução na fase de execução dos empreendimentos.,Irregularidades na formalização do convênio
20602,Aceite indevido de obras não concluídas,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
18106,Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
9390,Inclusão de parcela referente ao IRPJ e CSLL na composição do BDI ou na planilha de custo direto.,Falha na composição dos custos expressos na planilha orçamentária
11070,"Desvio de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
18051,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
21329,A.5.1 Superfaturamento qualitativo.,Superfaturamento
15875,Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
5652,Modalidade indevida de licitação - Modalidade de Licitação Inadequada.,"Adoção de tipo, regime ou modalidade de licitação indevidos"
11219,Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
16697,Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
17803,Deficiência nos levantamentos que fundamentam a elaboração dos projetos básico/executivo.,"Projeto inexistente, deficiente ou desatualizado"
7943,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
18646,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
11283,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
13572,Falhas relativas à publicidade do edital de licitação.,Irregularidades na condução do procedimento licitatório
20609,"Q11 -  Siconv 802190 - Concedente não tomou providências cabíveis relativamente à utilização indevida de pregão presencial para aquisição de bem, já que não amparada em justificativa plausível demonstrando inviabilidade do pregão eletrônico",Irregularidades na execução do convênio
5870,Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
7452,Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
13466,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
16909,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
19406,Pagamento contratual do Seguro de Risco de Engenharia superior ao valor efetivamente pago pelo consórcio construtor.,Liquidação e/ou pagamento irregular da despesa
13393,Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
16049,Critério de medição inadequado ou incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
15510,A obra paralisada está sendo deteriorada por intempéries ou por vandalismo.,Atraso ou paralisação da obra por ação ou omissão do gestor
14517,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
21544,Pagamento por serviços não executados.,Gestão temerária
13753,Inadequação das providências adotadas pela Administração para sanar interferências que possam provocar o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
18928,Contrato sem adequação à forma de tributação superveniente (desoneração),Liquidação e/ou pagamento irregular da despesa
18909,Há pendências na operação dos SSAA e ausência de avaliação dos resultados do convênio,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
23075,Critério de medição inadequado ou incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
7483,Sobrepreço decorrente de inexistência de BDI diferenciado para fornecimento de insumos.,Sobrepreço
11396,Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
19671,Execução de serviços sem respaldo contratual.,Outras irregularidades na execução do contrato
20901,A obra paralisada está sendo deteriorada por intempéries.,Atraso ou paralisação da obra por ação ou omissão do gestor
22061,Atrasos na operação comercial das usinas devido a atos de gestão ruinosa ,Descumprimento do cronograma físico-financeiro do objeto
9414,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
22303,A obra paralisada está sendo deteriorada por intempéries ou por vandalismo.,Atraso ou paralisação da obra por ação ou omissão do gestor
18078,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
16799,Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
17729,Obra de grande vulto utiliza dotações consignadas em outro crédito orçamentário.,Dotação orçamentária incompatível com a execução do objeto
18334,Gestão temerária de empreendimento.,Gestão temerária
7669,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
9745,"Desvio de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
15130,"Perda potencial ou efetiva de serviços realizados, em face da não execução concomitante de serviços essenciais à integridade da obra.",Outras irregularidades na execução do contrato
17104,Cláusulas do edital/contrato em desconformidade com os preceitos da legislação relativa ao RDC,Irregularidades na elaboração do ato convocatório
22550,A8.1  Licitação feita para o Pnate com dispensa indevida ou modalidade inadequada.,Contratação direta indevida ou não justificada
7657,Descumprimento de cláusulas contratuais.,Outras irregularidades na execução do contrato
16721,Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
18907,Paralisação e diminuição do ritmo de execução das obras,Descumprimento do cronograma físico-financeiro do objeto
21598,Obra entregue sem estar devidamente concluída.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
22499,"Gestão irregular do empreendimento, com a consequente paralisação das obras",Irregularidades na execução do convênio
19812,Projeto executivo deficiente/desatualizado,"Projeto inexistente, deficiente ou desatualizado"
17966,Existência de atrasos que podem comprometer o prazo de entrega do empreendimento.,Descumprimento do cronograma físico-financeiro do objeto
8904,Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
19153,Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
16001,Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
19664,Justificativa de preços sem pesquisa de mercado,Metodologia inadequada para definição do orçamento do objeto
8880,Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
8724,Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
5830,Restrição ao caráter competitivo da licitação - Inexistência de publicação do aviso de edital ou publicação do aviso do edital sem respeitar o prazo mínimo previsto na Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
12971,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
16132,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
12705,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
17358,Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
7451,O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
18313,Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
15530,Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
11582,Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
10918,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
19061,Achado A.19. Contrato C1/16/015: Dispensa de licitação sem demonstração da existência de requisitos necessários para caracterização de materialização de hipótese de incidência prevista em lei.,Contratação direta indevida ou não justificada
5807,"Sobrepreço - Sobrepreço decorrente de preços excessivos frente ao mercado (serviços, insumos e encargos).",Sobrepreço
9193,Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
9567,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
22828,Escolha injustificada do regime de execução.,"Adoção de tipo, regime ou modalidade de licitação indevidos"
19780,Desatualização ou inconsistências dos dados do Simec,Gestão temerária
7438,Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
15884,Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
18901,Inadequação das providências adotadas pela Administração para sanar interferências que possam provocar o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
5836,"Execução orçamentária irregular - Ausência, insuficiência ou previsão ilimitada de recursos orçamentários para a execução da obra no ano.",Dotação orçamentária incompatível com a execução do objeto
7049,O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
22720,Superfaturamento decorrente de falhas na Revisão de Projeto em Fase de Obras,Superfaturamento
9983,Pagamento por serviços não previstos contratualmente.,Liquidação e/ou pagamento irregular da despesa
19696,Existência de atrasos que podem comprometer o prazo de entrega do empreendimento.,Descumprimento do cronograma físico-financeiro do objeto
18153,Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
8098,O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
21753,"Utilização de materiais, equipamentos ou métodos construtivos incompatíveis com as especificações técnicas dos serviços contratados.",Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
20124,Disponibilidade financeira e orçamentária insuficientes para a execução da obra no ano,Dotação orçamentária incompatível com a execução do objeto
22657,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
19044,Indisponibilidade de recursos para execução da obra e para colocar o empreendimento em operação,Inviabilidade do projeto
12714,Superfaturamento decorrente de itens pagos em duplicidade.,Superfaturamento
12321,Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
21453,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
9623,Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
11616,Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
13806,Existência de preços diferentes para o mesmo serviço.,Falha na composição dos custos expressos na planilha orçamentária
21064,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
11261,Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
19248,Pagamento por serviços não efetivamente executados,Liquidação e/ou pagamento irregular da despesa
7067,As condicionantes da Licença de Instalação não estão sendo atendidas.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
9996,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
22302,Fragilidade ou deficiência na fase preparatória de licitação do RDC,Irregularidades na condução do procedimento licitatório
6981,Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
13977,Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
16178,Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
14371,Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
11117,Itens instalação/manutenção de canteiros e mobilização/desmobilização não se encontram detalhados no custo direto da obra.,Falha na composição dos custos expressos na planilha orçamentária
