ACHADO,TIPO_ACHADO
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
Pagamento de indenizações indevidas ou em desacordo com os laudos de avaliação.,Processo de desapropriação inexistente ou deficiente
Pagamentos por serviços prestados sem cobertura contratual.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Edital não contempla os requisitos mínimos exigidos pela legislação do Regime Diferenciado de Contratação,Irregularidades na elaboração do ato convocatório
Não atendimento às produtividades mínimas mensais estabelecidas em contrato e consequente atraso na execução dos serviços contratados.,Descumprimento do cronograma físico-financeiro do objeto
"Ausência de licitação autônoma para aquisição de equipamentos e/ou materiais, embora técnica e economicamente recomendável.",Restrição à competitividade do certame
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Execução orçamentária irregular - Obra de grande vulto utiliza dotações consignadas em outro crédito orçamentário.,Dotação orçamentária incompatível com a execução do objeto
Restrição à competitividade do certame,Restrição à competitividade do certame
Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
Cronograma de desembolso (físico-financeiro) incompatível com a execução física dos serviços.,Descumprimento do cronograma físico-financeiro do objeto
Pagamentos sem a correspondente contraprestação em bens e serviços para obras objeto de transferências da Funasa-PI,Irregularidades na execução do convênio
Alteração injustificada de quantitativos.,"Aditivos irregulares, injustificados ou não celebrados"
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Existência de preços diferentes para o mesmo serviço.,Falha na composição dos custos expressos na planilha orçamentária
Irregularidade graves concernentes ao aspecto ambiental - Obra licitada sem Licença Prévia.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
Licitação de obras sem previsão orçamentária ou com previsão insuficiente ou ilimitada.,Dotação orçamentária incompatível com a execução do objeto
"Ausência de parcelamento do objeto, embora técnica e economicamente recomendável.",Restrição à competitividade do certame
Ausência de priorização na execução de trechos concentradores de acidentes,Outras irregularidades na execução do contrato
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Obra em andamento com Licença Prévia ou de Instalação vencidas.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Ausência de análise sobre licitação pretérita,Irregularidades na formalização do convênio
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Insuficiência de recursos financeiros para dar continuidade à execução dos contratos,Atraso ou paralisação da obra por ação ou omissão do gestor
Inexecução de obras de caráter obrigatório,Descumprimento do cronograma físico-financeiro do objeto
Irregularidades na contratação de agência de viagens.,Outras irregularidades na execução do contrato
Projeto básico/executivo inconsistente,"Projeto inexistente, deficiente ou desatualizado"
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Alteração injustificada de quantitativos.,"Aditivos irregulares, injustificados ou não celebrados"
Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Licitação sem projeto básico ou com projeto básico sem aprovação pela autoridade competente.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Justificativa de preços sem pesquisa de mercado,Metodologia inadequada para definição do orçamento do objeto
Impropriedades na execução do convênio,Irregularidades na execução do convênio
Fiscalização do convênio insatisfatória ou não realizada,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Impropriedades no processo licitatório - Cláusulas contratuais em desacordo com os preceitos da Lei 8.666/93.,Cláusulas essenciais imprecisas ou ausentes
A obra paralisada está sendo deteriorada por intempéries.,Atraso ou paralisação da obra por ação ou omissão do gestor
Inexecução total do objeto- Acará/PA,Irregularidades na execução do convênio
Projeto básico/executivo sub ou superdimensionado.,"Projeto inexistente, deficiente ou desatualizado"
"Retenção/pagamento de tributos (contribuição previdenciária, IR, ISS, etc.) em desacordo com os percentuais previstos no BDI da contratada ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
Utilização de equipamentos incompatíveis com as especificações técnicas dos serviços contratados.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Existência de atrasos que podem comprometer o prazo de entrega do empreendimento.,Descumprimento do cronograma físico-financeiro do objeto
Demais falhas na administração do contrato ou demais irregularidades graves na administrção do contrato - Termo aditivo assinado após o término da vigência do contrato.,"Aditivos irregulares, injustificados ou não celebrados"
Cláusulas contratuais em desacordo com os preceitos da Lei 8.666/93.,Cláusulas essenciais imprecisas ou ausentes
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Adoção de regime de execução contratual inadequado ou antieconômico,"Adoção de tipo, regime ou modalidade de licitação indevidos"
Licitação sem projeto básico ou com projeto básico sem aprovação pela autoridade competente.,"Projeto inexistente, deficiente ou desatualizado"
A obra paralisada está sendo deteriorada por intempéries ou por vandalismo.,Atraso ou paralisação da obra por ação ou omissão do gestor
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Julgamento da fase de habilitação em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Existência de atrasos injustificáveis nas obras e serviços que comprometeram o prazo de entrega do empreendimento,Descumprimento do cronograma físico-financeiro do objeto
Incompatibilidade entre o que foi efetivamente realizado e as especificações ajustadas do Plano de trabalho,Irregularidades na execução do convênio
Julgamento ou classificação das propostas em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Execução/pagamento de serviços não previstos no contrato - Pagamento por serviços não previstos contratualmente.,Liquidação e/ou pagamento irregular da despesa
Irregularidade grave na execução do convênio - Ausência ou inadequabilidade das Prestações de Contas parciais apresentadas.,Ausência ou inadequação das prestações de contas do convênio
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Cláusulas do edital em desconformidade com os preceitos legais vigentes.,Irregularidades na elaboração do ato convocatório
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Critérios de habilitação com injustificada/ilegal restrição ao caráter competitivo (Sespa).,Irregularidades na habilitação e qualificação da licitante
Julgamento da fase de habilitação em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico/executivo deficiente ou inexistente - O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo,Falha na composição dos custos expressos na planilha orçamentária
Utilização de métodos construtivos incompatíveis com as especificações técnicas dos serviços contratados,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Projeto básico/executivo deficiente ou inexistente - Deficiência do projeto básico ou projeto básico desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
"Falha formal em edital relativa a Exigência de comprovação de quadro permanente sem permitir contrato de prestação	de serviços (Itens 3.2.6 e 3.2.7 do relatório de acompanhamento)

",Restrição à competitividade do certame
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Baixa efetividade da ação Implantação e Recuperação de Infraestrutura Básica em Projetos de Assentamento,Gestão temerária
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Pregão presencial em detrimento ao pregão eletrônico sem justificativa razoável ,Irregularidades na execução do convênio
Projeto executivo (RDC Contratação Integrada) em desconformidade com as premissas do anteprojeto e do edital da licitação,"Projeto inexistente, deficiente ou desatualizado"
Inobservância de critérios de aceitabilidade de preços unitários previstos no edital de licitação.,Outras irregularidades na execução do contrato
Há pendências na operação dos SSAA e ausência de avaliação dos resultados do convênio,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Outras falhas nos controles internos da execução do contrato,Fiscalização contratual inexistente ou deficiente
Ocorrência de patologias após o recebimento da obra,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Avanço desproporcional das etapas de serviço.,Descumprimento do cronograma físico-financeiro do objeto
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Estudo de viabilidade técnica e econômico-financeira deficiente.,Ausência de estudos capazes de comprovar a viabilidade do projeto
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Superfaturamento decorrente de itens pagos em duplicidade.,Superfaturamento
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Projeto básico/executivo deficiente ou inexistente - O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo,Falha na composição dos custos expressos na planilha orçamentária
Existência de atrasos que podem comprometer o prazo de entrega do empreendimento.,Descumprimento do cronograma físico-financeiro do objeto
"Potencial ocorrência de fraude em licitações, com repartição de lotes entre empresas    ",Direcionamento da licitação ou licitação montada
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
"Q11 -  Siconv 819075 - Concedente não tomou providências cabíveis relativamente à utilização indevida de pregão presencial para aquisição de bem, já que não amparada em justificativa plausível demonstrando inviabilidade do pregão eletrônico",Irregularidades na execução do convênio
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Fragilidades no desempenho da mandatária,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
As medidas corretivas necessárias para a retomada da obra paralisada (conforme acórdão do TCU) ainda não foram integralmente cumpridas pela administração.,Atraso ou paralisação da obra por ação ou omissão do gestor
Sub-rogação/subcontratação irregular de contrato - Subcontração não autorizada pela Administração ou não prevista em edital/contrato.,Subcontratação ou subrrogação irregular
Superfaturamento - Superfaturamento decorrente de BDI excessivo.,Superfaturamento
"Ausência de licitação autônoma para aquisição de equipamentos e/ou materiais, embora técnica e economicamente recomendável.",Restrição à competitividade do certame
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Aquisição de produtos em desconformidade com o Programa de Aquisição de Alimentos e os princípios da Administração pública,Outras irregularidades na execução do contrato
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Não encaminhamento dos documentos descritos no art. 4º da IN TCU 70/2012.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Não apresentação de ART/RRT específica para a elaboração da planilha orçamentária constante do projeto executivo.,Ausência de ART do projeto
Obras realizadas em terrenos não desapropriados (caracterização de esbulho pela Administração Pública).,Processo de desapropriação inexistente ou deficiente
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Impropriedades na execução do convênio,Irregularidades na execução do convênio
Fuga à licitação por meio de inclusão de objeto estranho ao licitado.,Contratação direta indevida ou não justificada
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
"Desvio de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
Houve recebimento indevido da obra.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Sobrepreço decorrente de inexistência de BDI diferenciado para fornecimento de insumos.,Sobrepreço
Projeto básico/executivo deficiente ou inexistente - Licitação sem projeto básico ou com projeto básico sem aprovação pela autoridade competente.,"Projeto inexistente, deficiente ou desatualizado"
Prorrogações indevidas da vigência de contratos,Fiscalização contratual inexistente ou deficiente
Cláusulas contratuais em desacordo com os preceitos da Lei 8.666/93.,Cláusulas essenciais imprecisas ou ausentes
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Sub-rogação/subcontratação irregular de contrato - Existência de sub-rogação de contrato.,Subcontratação ou subrrogação irregular
Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Licitação sem projeto básico ou com projeto básico sem aprovação pela autoridade competente.,"Projeto inexistente, deficiente ou desatualizado"
Não atendimento dos requisitos para adoção do regime de Contratação Integrada,"Adoção de tipo, regime ou modalidade de licitação indevidos"
Ausência de ART do projeto executivo.,Ausência de ART do projeto
Medição/ pagamento de serviços não realizados - Pagamentos por serviços não executados.,Superfaturamento
Fragilidade ou deficiência na fase preparatória de licitação do RDC,Irregularidades na condução do procedimento licitatório
Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Recebimento de serviços prestados em desacordo com o contratado,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
"Não comprovação da regularidade fiscal e das qualificações técnicas, econômica e financeira de empresa pré-contratada.",Contratação direta indevida ou não justificada
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Obra em andamento com Licença Prévia ou de Instalação vencidas.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Adiantamento de pagamentos.,Liquidação e/ou pagamento irregular da despesa
Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"Execução orçamentária irregular - Ausência, insuficiência ou previsão ilimitada de recursos orçamentários para a execução da obra no ano.",Dotação orçamentária incompatível com a execução do objeto
Fragilidades no controle de ponto dos servidores.,Gestão temerária
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Impropriedades no processo licitatório - Cláusulas contratuais em desacordo com os preceitos da Lei 8.666/93.,Cláusulas essenciais imprecisas ou ausentes
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Projeto executivo deficiente e desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Alteração injustificada de quantitativos.,"Aditivos irregulares, injustificados ou não celebrados"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
 Superfaturamento de serviços.,"Aditivos irregulares, injustificados ou não celebrados"
Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Existência de preços diferentes para o mesmo serviço.,Falha na composição dos custos expressos na planilha orçamentária
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"Desvio de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
Atraso injustificado na condução de processos de titulação de territórios quilombolas.,Gestão temerária
"Há contratos do tipo ""guarda-chuva"", com objeto amplo ou não definido.",Cláusulas essenciais imprecisas ou ausentes
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Prejuízos decorrentes da paralisação das obras.,Outras irregularidades na execução do contrato
Indícios de ocorrência de procedimentos fraudulentos de montagem de licitação.,Direcionamento da licitação ou licitação montada
Avanço desproporcional das etapas de serviço.,Descumprimento do cronograma físico-financeiro do objeto
Inserção de cláusulas vedadas pelo art. 8º da Instrução Normativa STN nº 1.,Irregularidades na formalização do convênio
Elaboração do projeto executivo concomitante com a execução da obra sem autorização prévia da Administração.,"Projeto inexistente, deficiente ou desatualizado"
Impropriedades na execução do convênio,Irregularidades na execução do convênio
"Sobrepreço - Sobrepreço decorrente de preços excessivos frente ao mercado (serviços, insumos e encargos).",Sobrepreço
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Fragilidade ou deficiência na fase preparatória de licitação do RDC,Irregularidades na condução do procedimento licitatório
Superfaturamento por sobrepreço.,Superfaturamento
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Alteração injustificada de quantitativos.,"Aditivos irregulares, injustificados ou não celebrados"
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Ausência de demonstração da inviabilidade de promover o parcelamento do objeto.,Restrição à competitividade do certame
Superfaturamento por pagamento indevido de despesas relativas a atraso na execução da obra. (III.2),Superfaturamento
Pagamentos efetuados sem critérios objetivos definidos em edital ou contrato e em desconformidade com o Decreto 7.581/2011,Cláusulas essenciais imprecisas ou ausentes
Execução de ato antieconômico com a aquisição de imóvel com condição de solo atípica e que não atende plenamente as necessidades do TRE/PE,Gestão temerária
Erro na metodologia de cálculo utilizada para a mensuração da densidade dos produtos transportados no âmbito do Contrato nº 311/2010,Outras irregularidades na execução do contrato
Ausência de cronograma físico-financeiro,"Aditivos irregulares, injustificados ou não celebrados"
Medição/ pagamento de serviços não realizados - Pagamentos por serviços não executados.,Superfaturamento
Pagamento por serviços não previstos contratualmente.,Liquidação e/ou pagamento irregular da despesa
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Demais falhas na administração do contrato ou demais irregularidades graves na administrção do contrato - Termo aditivo assinado após o término da vigência do contrato.,"Aditivos irregulares, injustificados ou não celebrados"
Aceitação de cartas de fiança bancária inidôneas como garantia dos contratos celebrados e de seus aditivos.,Garantia contratual inexistente
Licitação de obras sem previsão orçamentária ou com previsão insuficiente ou ilimitada.,Dotação orçamentária incompatível com a execução do objeto
"Acréscimos ao valor contratual superiores ao limite legal - Acréscimos e/ou supressões em percentual superior ao permitido pela Lei 8.666/93, art. 65, § 1º, conforme Acórdão 1.428/2003-TCU-Plenário e 2134/2006-TCU-Plenário.","Aditivos irregulares, injustificados ou não celebrados"
Retiradas da conta bancária sem comprovação da despesa.,Irregularidades na execução do convênio
Iminência de decisão judicial (contrato Pres 12.91) ou administrativa (contrato Pres 12.93) com possibilidade de reverter decisões anteriores que asseguram a permanência da arrendatária na exploração das áreas,Outras irregularidades na execução do contrato
Obra de grande vulto não constitui projeto orçamentário específico no nível de título.,Dotação orçamentária incompatível com a execução do objeto
Publicação intempestiva do extrato do contrato na imprensa oficial,Outras irregularidades na execução do contrato
Inviabilidade Econômica do Empreendimento,Inviabilidade do projeto
Projeto de grande vulto sem constituir um projeto orçamentário específico e utilizando contrato que faz parte de PT distinto.,Dotação orçamentária incompatível com a execução do objeto
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
"Sobrepreço - Sobrepreço decorrente de preços excessivos frente ao mercado (serviços, insumos e encargos).",Sobrepreço
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
"Em sede de Recurso Ordinário, no Processo Trabalhista 0055700-78.2009.5.05.0034, o acórdão do TRT 5ª Região exarou que o recurso não foi admitido por acolhimento da preliminar de irregularidade na representação da Codeba.",Fiscalização contratual inexistente ou deficiente
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Sobrepreço decorrente de alteração da metodologia executiva,Sobrepreço
"Ausência, insuficiência ou previsão ilimitada de recursos orçamentários para a execução da obra no ano.",Dotação orçamentária incompatível com a execução do objeto
Obra entregue sem estar devidamente concluída.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Julgamento da fase de habilitação em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Desequilíbrio econômico-financeiro do contrato de supervisão ante o descompasso entre a execução físico-financeira do contrato de execução e do contrato de supervisão.,Descumprimento do cronograma físico-financeiro do objeto
Os parâmetros de sustentabilidade não foram atendidos na obra,"Projeto inexistente, deficiente ou desatualizado"
Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
Deficiência na gestão da execução da obra do Lote 5SA,Descumprimento do cronograma físico-financeiro do objeto
Execução de serviços sem autorização do órgão competente.,Outras irregularidades na execução do contrato
Falta de definição precisa das condições de reajuste.,Cláusulas essenciais imprecisas ou ausentes
Inexecução Total do Objeto - Alenquer/PA,Ausência ou inadequação das prestações de contas do convênio
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Publicação intempestiva do requerimento da licença ambiental pelo empreendedor.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
"Inadequação no recebimento, estocagem ou guarda de equipamentos e materiais.",Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Atraso injustificado na execução do empreendimento,Descumprimento do cronograma físico-financeiro do objeto
Projeto básico/executivo sub ou superdimensionado.,"Projeto inexistente, deficiente ou desatualizado"
Habilitação indevida de empresa vencedora de licitação,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
"Recebimento de medicamentos com prazos de validade diverso do contratado (ex: prestes a terem seus prazos de validade expirados, em validade inferior a um ano).",Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Indícios de conluio entre licitantes.,Direcionamento da licitação ou licitação montada
Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
As condicionantes da Licença de Instalação não estão sendo atendidas.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Existência de atrasos que podem comprometer o prazo de entrega do empreendimento.,Descumprimento do cronograma físico-financeiro do objeto
A medida corretiva necessária para a retomada da obra paralisada não foi realizada pela administração.,Atraso ou paralisação da obra por ação ou omissão do gestor
Transferências registradas no Portal da Transparência e não identificadas no SIGA - Sistema de Gerenciamento e Acompanhamento de Obras da Funasa,Irregularidades na execução do convênio
Descumprimento dos procedimentos para alteração de Contratos de Repasse ou Termo de Execução na fase de execução dos empreendimentos.,Irregularidades na formalização do convênio
Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
"Inadequados controle, guarda e conservação dos materiais remanescentes da execução do contrato 4400000372",Outras irregularidades na execução do contrato
Achado A.21. Contrato C1/10/001: Falha de planejamento da INB quanto à disponibilidade de bens a serem aplicados na atividade finalística.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Sobrepreço - Sobrepreço decorrente de BDI excessivo.,Sobrepreço
Sobrepreço - Sobrepreço decorrente de BDI excessivo.,Sobrepreço
Demais irregularidades graves no processo licitatório - Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
