ACHADO,TIPO_ACHADO
Modalidade indevida de licitação.,"Adoção de tipo, regime ou modalidade de licitação indevidos"
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
"Obra licitada, contratada, iniciada, paralisada e reiniciada sem as licenças ambientais prévia e de instalação (sem alvará de construção), com reiterados atrasos injustificados","Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
A9.1  Licitação feita para o Pnae por modalidade inadequada. ,Irregularidades na elaboração do ato convocatório
Existência de outros indicadores de viabilidade econômico-financeiro desfavoráveis.,Inviabilidade do projeto
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
As cláusulas presentes no contrato assinado não estão de acordo com aquelas que foram apresentadas na minuta de contrato presente no edital de licitação.,Divergência entre o contrato e o ato convocatório
Cronograma de desembolso (físico-financeiro) incompatível com a execução física dos serviços.,Descumprimento do cronograma físico-financeiro do objeto
Falhas relativas à publicidade do edital de licitação.,Irregularidades na condução do procedimento licitatório
Inadequação das providências adotadas pela Administração para sanar interferências que possam provocar o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
Existência de atrasos que podem comprometer o prazo de entrega do empreendimento.,Descumprimento do cronograma físico-financeiro do objeto
Medição/ pagamento de serviços não realizados - Adiantamento de pagamentos.,Liquidação e/ou pagamento irregular da despesa
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
A obra paralisada está sendo deteriorada por intempéries ou por vandalismo.,Atraso ou paralisação da obra por ação ou omissão do gestor
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
"Desvio de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
As condicionantes da Licença de Instalação não estão sendo atendidas.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
O orçamento do Edital / Contrato / Aditivo não está acompanhado das composições de todos os custos unitários de seus serviços.,Falha na composição dos custos expressos na planilha orçamentária
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Perdas econômicas e sociais em face da não execução concomitante de serviços essenciais à funcionalidade da obra.,Ausência de efetividade da obra
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
"Ausência, insuficiência ou previsão ilimitada de recursos orçamentários para a execução da obra no ano.",Dotação orçamentária incompatível com a execução do objeto
Classificação indevida do objeto do contrato como serviço de natureza continuada.,Irregularidades na condução do procedimento licitatório
Descumprimento dos prazos estabelecidos nos normativos internos e externos dos prazos prescritos para apresentação e análise das prestações das contas referentes aos ajustes executados com fundações de apoio.,Ausência ou inadequação das prestações de contas do convênio
Inexecução ou execução parcial do objeto pactuado (obras inacabadas) por atraso na liberação dos recursos conveniados.,Irregularidades na execução do convênio
"Planejamento deficiente da AmE na contratação de gás junto à Cigás, mediante o Contrato OC 1.902/2006, com real prejuízo ao erário.",Outras irregularidades na execução do contrato
Julgamento ou classificação das propostas em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"Perda potencial ou efetiva de serviços realizados, em face da não execução concomitante de serviços essenciais à integridade da obra.",Outras irregularidades na execução do contrato
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Restrição ao caráter competitivo da licitação - Inexistência de publicação do aviso de edital ou publicação do aviso do edital sem respeitar o prazo mínimo previsto na Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
Superfaturamento por sobrepreço e por quantitativo no contrato 107/2009 (CV 702164/2008),Superfaturamento
Medição/ pagamento de serviços não realizados - Pagamentos por serviços não executados.,Superfaturamento
"Ausência de motivação para o acréscimo de 20,27% no valor do contrato celebrado com a empresa Reginaldo Roberto de Carvalho-ME","Aditivos irregulares, injustificados ou não celebrados"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Houve recebimento indevido da obra.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
"Exigência, sem justificativa, de índices contábeis de capacidade financeira. ",Restrição à competitividade do certame
Julgamento ou classificação das propostas em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Pagamentos de meia diária aos conselheiros residentes em Campo Grande em razão de participação em reuniões do Conselho ocorridas no mesmo município. ,Gestão temerária
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Deficiência na fiscalização/supervisão da obra - Fiscalização e/ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
"Perda potencial ou efetiva de serviços realizados, em face da não execução concomitante de serviços essenciais à integridade da obra.",Outras irregularidades na execução do contrato
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Fiscalização inadequada da obra consubstanciada na existência de pagamentos de serviços não recebidos ou feito a empresas não vinculadas à obra.,Fiscalização contratual inexistente ou deficiente
Projeto básico deficiente e desatualizado,"Projeto inexistente, deficiente ou desatualizado"
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
"Restrição ao caráter competitivo da licitação - Parcelamento inadequado, gerando restrição à competitividade ou prejuízo à administração pública por perda de economia de escala.",Restrição à competitividade do certame
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Impropriedades na execução do convênio,Irregularidades na execução do convênio
Alteração injustificada de quantitativos.,"Aditivos irregulares, injustificados ou não celebrados"
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Perdas econômicas e sociais em face da não execução concomitante de serviços essenciais à funcionalidade da obra.,Ausência de efetividade da obra
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"2) Os recursos, embora inicialmente depositados em conta específica, foram posteriormente transferidos (parcial ou integralmente) para outras contas dos municípios.",Gestão temerária
Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
As medidas corretivas necessárias para a retomada da obra paralisada (conforme Acórdão 460/2017-TCU-Plenário) ainda não foram integralmente cumpridas pela administração.,Atraso ou paralisação da obra por ação ou omissão do gestor
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Exclusão de serviços  que podem comprometer a funcionalidade do empreendimento,Ausência de efetividade da obra
Termo aditivo desacompanhado de discriminação dos serviços/quantidades adicionados.,"Aditivos irregulares, injustificados ou não celebrados"
Modalidade indevida de licitação - Modalidade de Licitação Inadequada.,"Adoção de tipo, regime ou modalidade de licitação indevidos"
Projeto básico/executivo deficiente ou inexistente - O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo,Falha na composição dos custos expressos na planilha orçamentária
Subcontratação irregular.,Subcontratação ou subrrogação irregular
Inexistência de Termo de Recebimento Definitivo do objeto contratado.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Irregularidades na aquisição de bens.,Gestão temerária
Alteração injustificada de quantitativos.,"Aditivos irregulares, injustificados ou não celebrados"
Deficiência no controle de medicamentos,Fiscalização contratual inexistente ou deficiente
Sobrepreço decorrente de quantitativo inadequado e de ausência de BDI reduzido para itens de fornecimento de materiais e/ou equipamentos.,Sobrepreço
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Deficiência na fiscalização/supervisão da obra - Fiscalização e/ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
101/2013 - Deficiência nos mecanismos para controlar a execução contratual,Cláusulas essenciais imprecisas ou ausentes
Inadequação das providências adotadas pela Administração para sanar interferências que possam provocar o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Critérios de habilitação com ilegal restrição ao caráter competitivo,Restrição à competitividade do certame
Existência de sub-rogação de contrato.,Subcontratação ou subrrogação irregular
Ausência de parcelamento do objeto sem justificativas adequadas,Irregularidades na elaboração do ato convocatório
Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
Ausência de ART do projeto executivo.,Ausência de ART do projeto
Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
Modelo de contratação e pagamento sem observância de sistemática definida em normativos do SUS,Irregularidades na elaboração do ato convocatório
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
"Superfaturamento - Superfaturamento decorrente de preços excessivos frente ao mercado (serviços, insumos e encargos).",Superfaturamento
Projeto básico/executivo deficiente ou inexistente - Orçamento do Edital / Contrato / Aditivo Incompleto ou Inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
Celebração de aditivos de Convênios em detrimento a elaboração de Termos de Parceria e possível descontinuidade na execução de serviços ,Irregularidades na formalização do convênio
Celebração irregular de convênio.,Irregularidades na formalização do convênio
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Restrição ao caráter competitivo da licitação - Restrição ao caráter competitivo da licitação decorrente de critérios subjetivos de habilitação e julgamento.,Restrição à competitividade do certame
"Ausência de republicação do edital, diante da alteração de exigências de qualificação técnica durante a fase de esclarecimentos aos licitantes.",Irregularidades na condução do procedimento licitatório
ausência de disponibilização do edital e respectivos anexos na página eletrônica do município,Irregularidades na condução do procedimento licitatório
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
"Sobrepreço - Sobrepreço decorrente de preços excessivos frente ao mercado (serviços, insumos e encargos).",Sobrepreço
Deficiência nos levantamentos que fundamentam a elaboração dos projetos básico/executivo.,"Projeto inexistente, deficiente ou desatualizado"
Ausência de publicidade do requerimento da licença ambiental pelo empreendedor.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
A obra paralisada está sendo deteriorada por intempéries ou por vandalismo.,Atraso ou paralisação da obra por ação ou omissão do gestor
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
Ausência de ART do projeto básico.,Ausência de ART do projeto
Obras realizadas em terrenos não desapropriados (caracterização de esbulho pela Administração Pública).,Processo de desapropriação inexistente ou deficiente
Adoção de regime de execução contratual inadequado ou antieconômico,"Adoção de tipo, regime ou modalidade de licitação indevidos"
Planejamento deficiente nas contratações realizadas pelo CPB.,Metodologia inadequada para definição do orçamento do objeto
Projeto Básico sem aprovação pela autoridade competente.,Ausência de aprovação do projeto pela autoridade competente
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Pagamento de indenizações indevidas ou em desacordo com os laudos de avaliação.,Processo de desapropriação inexistente ou deficiente
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Projeto básico deficiente,"Projeto inexistente, deficiente ou desatualizado"
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Pagamento por serviços não executados.,Gestão temerária
Superfaturamento na contratação dos oito cascos das plataformas replicantes,Superfaturamento
Estudo de viabilidade técnica e econômico-financeira deficiente.,Ausência de estudos capazes de comprovar a viabilidade do projeto
"Ausência, no edital, de critério de aceitabilidade de preços máximos - Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.",Irregularidades na elaboração do ato convocatório
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Inclusão de parcela referente ao IRPJ e CSLL na composição do BDI ou na planilha de custo direto.,Falha na composição dos custos expressos na planilha orçamentária
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Inexistência de procedimento formalizado para fins de escolha do tipo de solução e local da intervenção que busque a melhor relação custo-efetividade no âmbito do município de Rorainópolis/RR.,Ausência de efetividade da obra
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Irregularidade das providências adotadas pela Administração para sanar interferências que possam provocar  o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
Pagamentos indevidos e não comprovados,Outras irregularidades na execução do contrato
Fuga à licitação por meio de inclusão de objeto estranho ao licitado.,Contratação direta indevida ou não justificada
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Existência de atrasos nas etapas do empreendimento,Descumprimento do cronograma físico-financeiro do objeto
Proposta contratada não apresenta orçamento acompanhado da composição de todos os custos unitários de serviços.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Irregularidade grave na execução do convênio - Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Duplicidade na contratação/Licitação de serviços,Irregularidades na habilitação e qualificação da licitante
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
"Utilização de materiais, equipamentos ou métodos construtivos incompatíveis com as especificações técnicas dos serviços contratados.",Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Obra licitada sem Licença Prévia.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
"Não adoção, pelo FNDE, de ações que visem garantir o efetivo funcionamento das creches já concluídas.",Descumprimento de determinação do TCU
Contratação de empregados de forma precária,Gestão temerária
Projeto básico/executivo deficiente ou inexistente - Orçamento do Edital / Contrato / Aditivo Incompleto ou Inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Existência de preços diferentes para o mesmo serviço.,Falha na composição dos custos expressos na planilha orçamentária
Orçamento do edital inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Ausência de licenças ambientais de âmbito estadual e local.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Pagamento por serviços não previstos contratualmente.,Liquidação e/ou pagamento irregular da despesa
Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
Existência de preços diferentes para o mesmo serviço.,Falha na composição dos custos expressos na planilha orçamentária
Obra licitada sem Licença Prévia.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Sobrepreço decorrente de inclusão inadequada de novos serviços.,Sobrepreço
Projeto básico/executivo deficiente ou inexistente - Deficiência do projeto básico ou projeto básico desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico/executivo deficiente ou inexistente - O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo,Falha na composição dos custos expressos na planilha orçamentária
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Subcontratação irregular.,Subcontratação ou subrrogação irregular
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
Sobrepreço em virtude de preços superiores aos de mercado,Sobrepreço
Ausência de licenças ambientais de âmbito estadual e local.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Liquidação irregular de despesas públicas,Liquidação e/ou pagamento irregular da despesa
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Existência de atrasos que podem comprometer o prazo de entrega do empreendimento.,Descumprimento do cronograma físico-financeiro do objeto
A CBT não dispõe de regulamento próprio para a seleção de pessoal,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Demais irregularidades graves no processo licitatório - Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
"Julgamento irregular das propostas, em desacordo com os princípios da administração pública.",Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Projeto executivo sem aprovação pela autoridade competente.,Ausência de aprovação do projeto pela autoridade competente
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
"Utilização de materiais, equipamentos ou métodos construtivos incompatíveis com as especificações técnicas dos serviços contratados.",Liquidação e/ou pagamento irregular da despesa
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Irregularidades graves na execução do convênio - O Plano de Trabalho apresentado pelo Convenente não contém todos os requisitos exigidos pelo art. 2º da Instrução Normativa STN nº 1.,Irregularidades na fase de proposição
Contrato celebrado sem a devida comprovação da capacidade técnica da contratada para a execução do objeto.,Irregularidades na habilitação e qualificação da licitante
Ausência do número mínimo de três licitantes em convite.,Irregularidades na condução do procedimento licitatório
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Adiantamento de pagamento sem a apresentação das garantias contratuais.,Garantia contratual inexistente
Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
Deficiência na fiscalização com grande potencial de pagamentos indevidos,Fiscalização contratual inexistente ou deficiente
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Estimativa do custo total de investimento deficiente.,Ausência de estudos capazes de comprovar a viabilidade do projeto
Medição/ pagamento de serviços não realizados - Pagamentos por serviços não executados.,Superfaturamento
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Obra licitada sem Licença Prévia.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Projeto básico/executivo sub ou superdimensionado.,"Projeto inexistente, deficiente ou desatualizado"
Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Ausência de ART do projeto básico.,Ausência de ART do projeto
Cláusulas do edital/contrato em desconformidade com os preceitos legais vigentes.,Irregularidades na elaboração do ato convocatório
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Deficiência na fiscalização/supervisão da obra - Fiscalização e/ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Perdas econômicas e sociais em face da não execução concomitante de serviços essenciais à funcionalidade da obra.,Ausência de efetividade da obra
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Adiantamento de pagamentos.,Liquidação e/ou pagamento irregular da despesa
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Deficiência nos levantamentos que fundamentaram a elaboração dos projetos básico/executivo,"Projeto inexistente, deficiente ou desatualizado"
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Falhas na fiscalização do Dnit no Programa CREMA na BR-235/SE.,Fiscalização contratual inexistente ou deficiente
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Superfaturamento decorrente de itens pagos em duplicidade.,Superfaturamento
Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
A fiscalização dos convênios não cumpre todas as exigências da Portaria Interministerial CGU/MF/MP Nº 507/2011 e da Portaria Sesai Nº 15/2014,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Falta de exigência de garantia contratual.,Garantia contratual inexistente
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Existência de estudo de viabilidade técnica e econômico-financeira desfavorável à implantação do empreendimento.,Inviabilidade do projeto
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado,Falha na composição dos custos expressos na planilha orçamentária
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Implantação do empreendimento sem obtenção de todas as licenças e autorizações emitidas pelos órgãos competentes.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Falta de publicidade devida ao contrato/aditivo.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Falta de registro no Siconv de atos e procedimentos relativos ao convênio/contrato.,"Ausência e/ou deficiência de publicidade, de transparência e de registros no SICONV"
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Riscos de não alcance da funcionalidade plena do empreendimento,Irregularidades na execução do convênio
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
As condicionantes da Licença de Instalação não estão sendo atendidas.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Projeto executivo deficiente/desatualizado,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto executivo de pavimentação em desconformidade com as premissas do instrumento convocatório,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Estudo de viabilidade técnica e econômico-financeira deficiente.,Ausência de estudos capazes de comprovar a viabilidade do projeto
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Projeto básico/executivo deficiente ou inexistente - Deficiência do projeto básico ou projeto básico desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Execução orçamentária irregular - Objeto licitado incompatível com o PT utilizado.,Dotação orçamentária incompatível com a execução do objeto
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Contratação irregular por dispensa ou inexigibilidade.,Contratação direta indevida ou não justificada
Ausência de Identificação dos Bens adquiridos com Recursos Federais  Adesivos/Placas,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Contratação simulada.,Outras irregularidades na execução do contrato
PIATÃ - Pagamento de honorários advocatícios com recursos dos precatórios do Fundef.,Liquidação e/ou pagamento irregular da despesa
Subcontratação irregular.,Subcontratação ou subrrogação irregular
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Falhas relativas à publicidade do edital de licitação.,Irregularidades na condução do procedimento licitatório
Cláusulas contratuais em desacordo com os preceitos da Lei 8.666/93.,Cláusulas essenciais imprecisas ou ausentes
Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Uso de recursos vinculados a empenhos inscritos em Restos a Pagar para pagamento de despesas de exercícios posteriores,Liquidação e/ou pagamento irregular da despesa
Atendimento parcial da Política Nacional de Segurança de Barragens (PNSB) em relação aos reservatórios estratégicos para o Pisf,Ausência de condições adequadas de segurança das obras/rodovias
Projeto básico/executivo deficiente ou inexistente - Medidas mitigadoras exigidas pelo EIA / RIMA não estão sendo observadas no projeto básico / executivo e/ou na execução da obra.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Licitação sem projeto básico ou com projeto básico sem aprovação pela autoridade competente.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de BDI excessivo.,Sobrepreço
Avanço desproporcional das etapas de serviço.,Descumprimento do cronograma físico-financeiro do objeto
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Demais irregularidades graves no processo licitatório - Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
Prorrogação injustificada de prazo contratual.,"Aditivos irregulares, injustificados ou não celebrados"
"Perda potencial ou efetiva de serviços realizados, em face da não execução concomitante de serviços essenciais à integridade da obra.",Outras irregularidades na execução do contrato
